addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
대구광역시 동구 동대구로 550,(신암동),4,0,A02,A0202,A02020700,2742496,12,20210910003350,http://tong.visitkorea.or.kr/cms/resource/76/2742476_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2742476_image2_1.jpg,Type3,128.6288011378,35.8794806389,6,20231005101906,4,,동대구역광장
대구광역시 동구 동화사1길 1,(도학동),4,0,A02,A0201,A02010800,126160,12,20020402090000,,,,128.7034886742,35.9903555744,6,20240318152159,4,,동화사(대구)
대구광역시 동구 효신로 88,,4,0,A03,A0302,A03022700,2544638,12,20180426232716,http://tong.visitkorea.or.kr/cms/resource/55/2544655_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2544655_image2_1.jpg,Type3,128.6324702620,35.8793946049,6,20240307152939,4,,바운스 트램폴린파크(대구신세계점)
대구광역시 달서구 중흥로 67,(송현동),4,0,A02,A0201,A02010800,1610456,12,20120423225910,http://tong.visitkorea.or.kr/cms/resource/31/1573931_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/1573931_image3_1.jpg,Type3,128.5588698165,35.8288628564,6,20230911102227,2,,백련사(대구)
대구광역시 남구 고산3길 96-4,(봉덕동),4,0,A02,A0201,A02010800,309757,12,20071201002439,,,,128.5996413778,35.8234086688,6,20230905190602,1,,법장사(대구)
대구광역시 수성구 수성로12길 70,(상동),4,0,A02,A0201,A02010700,1955575,12,20141013230413,,,,128.6122872193,35.8330189252,6,20230911165521,7,,봉산서원(대구)
대구광역시 동구 팔공산로 967-28,(신무동),4,0,A02,A0201,A02010800,317499,12,20071204192419,http://tong.visitkorea.or.kr/cms/resource/22/1574222_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/1574222_image3_1.jpg,Type3,128.6740022555,35.9949489511,6,20240319162054,4,,부인사(대구)
대구광역시 동구 도장길 243,(도학동),4,0,A02,A0201,A02010800,317502,12,20071204195049,,,,128.7148547298,35.9764573607,6,20240514163708,4,,북지장사(대구)
서울특별시 용산구 한강대로 182,(한강로1가),1,0,A02,A0203,A02030600,704506,12,20090310213644,http://tong.visitkorea.or.kr/cms/resource/96/712496_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/712496_image3_1.jpg,Type3,126.9735279372,37.5344523297,6,20230704095915,21,,서울 삼각지 대구탕 골목
대구광역시 수성구 이천동,,4,,A02,A0201,A02010800,3024155,12,20230905102731,http://tong.visitkorea.or.kr/cms/resource/37/3024137_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/3024137_image3_1.JPG,Type3,128.6676347590,35.8461601271,6,20231024180016,7,,석가사(대구)
대구광역시 달성군 유가면 휴양림길 228,,4,0,A02,A0201,A02010800,129671,12,20070813090000,,,,128.5107111811,35.6915636097,6,20240612102031,3,,소재사(대구)
대구광역시 달성군 구지면 구지서로 530-47,,4,0,A02,A0201,A02010700,1955968,12,20141015012814,,,,128.3596548955,35.6964852976,6,20240205110108,3,,송담서원(대구)
대구광역시 달성군 유가면 유가사길 161,(유가면),4,0,A02,A0201,A02010800,1610789,12,20120424014009,http://tong.visitkorea.or.kr/cms/resource/60/1574060_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/1574060_image3_1.jpg,Type3,128.5073941840,35.7141554409,6,20231024142156,3,,수도암(대구)
