Branch,Username,Date,Review
네이버플레이스,하드코어인생아,23.6.11.일,커피향 진하고 좋아요
네이버플레이스,냠냠nn,23.9.2.토,맛있어요!
네이버플레이스,손수민12,23.5.7.일,아이스크림이 먹고 싶거나 달달한걸 마시고 싶을때 가기 너무 좋아요
네이버플레이스,클레어107,23.4.7.금,"직원분도 친절하시고, 라떼 정말 맛있어요 !!"
네이버플레이스,ann****,23.5.3.수,신메뉴 말차 라떼 맛있어요 말차 아이스크림이 찐맛
네이버플레이스,룰루2066,23.7.28.금,ㅇㅇ
네이버플레이스,wooc24,23.7.26.수,굿
네이버플레이스,ilo****,1.28.일,굿
네이버플레이스,기웃기웃,23.4.29.토,가게도 넓고 친절한 매장입니다
네이버플레이스,Eiego,23.6.7.수,친절하고 맛있어요!!
네이버플레이스,즐겁게 열심히50,23.5.15.월,커피를 쏟았는데 직원분이 오셔서 청소말끔히 해주시고 리필해드릴까요하고 친절하게 물어보시네요. 강추합니다
네이버플레이스,호하호호호85,23.5.31.수,점심시간에 항상 손님으로 붐비는곳! 라떼는 명불허전👍
네이버플레이스,콩물슝슝,23.5.17.수,"아이스라떼 매니아가 너무 좋아하는 폴바셋 ㅎㅎ
우유고소하고 커피는 진하고 ~ 굿굿이에요"
네이버플레이스,뽀글뽀글뽀그링,23.7.18.화,좋아요
네이버플레이스,ㅈㅇ0805,23.4.4.화,점심시간에 방문하니  20분 기다림 헐 ~~ 폴바셋 커피맛이 안난다~~ 속상한다 담번엔 한가한 시간에 와야지~ 속상한다 흑흑흑 
네이버플레이스,ㅈㅇ0805,23.4.19.수,"제주말차아이스크링
넘 맛나요~~"
네이버플레이스,소영쇠런,23.4.15.토,좋아해요 아이스크림라떼디카페인팔아서구굿
네이버플레이스,SHS1456,23.4.15.토,"카드 깜빡하고 놓고 왔을 때 
자리로 잘 갔다주었어요 :-)"
네이버플레이스,별명이별명이다,23.5.17.수,우유 들어간 음료 다 맛있어요
네이버플레이스,맛집감별사7,23.3.16.목,아이스크림라떼 맛있는건 다 아는 사실🍦
네이버플레이스,Gravity17,23.5.24.수,
네이버플레이스,DONGDONG,23.5.6.토,다소 비싸지만 맛나요
네이버플레이스,Chan35,23.5.12.금,룽고에 아이스크림 추가는 비추!
네이버플레이스,김몰라16,23.5.10.수,"디카페인, 락토프리 메뉴 있어서 좋아요"
네이버플레이스,먹방요정,23.1.12.목,"나름 최애 프랜차이즈 커피
디자트도 굿굿"
네이버플레이스,화성왕자,23.5.17.수,
네이버플레이스,252막,23.3.20.월,아이스카라멜마끼아또 얼음빼고드셔보세요 월요병 날라감 폴바셋 텀블러할인크니까 꼭 할인받기!!
네이버플레이스,Candy64,23.3.1.수,직원들이 너무 친절! 맛도 친절!!
네이버플레이스,so hot,23.4.2.일,친절하시고 매장도 넓고 좋아요
네이버플레이스,예쁜이7242,23.5.4.목,매장이 넓고 환해서 좋네요. 커피 맛은 말할 것도 없고요. 
네이버플레이스,쭌쭌je,23.3.31.금,근처에 꽃보러간김에 방문했어요. 역시나 라떼가 맛있어요.
네이버플레이스,wisdomcho98,23.7.26.수,너무 맛나죠!!
네이버플레이스,쭈시후레쉬,23.6.21.수,좋아요
네이버플레이스,희돌이71,23.4.27.목,아이스크림이 맛있어요
네이버플레이스,soovely46,22.12.19.월,역쉬역쉬 폴바셋 커피가 정말 맛나요!!👍🏻 그리고 아이스크림 절대 포기 못합니다!
네이버플레이스,릴릴리3024,23.3.24.금,바쁜 점심시간에도 친절해요
네이버플레이스,목표39,23.6.15.목,라떼 짱 맛나요
네이버플레이스,맛토리,22.12.27.화,"새로나온 딸기라떼 티멤버십할인으로 마셨어요!!! 진짜 맛있음 가격은 사악하지만 … 맛은있네요^_^ 
그치만 정가주곤 못마실거같아요 넘 비싸여 ㅋㅋㅋㅋㅋ 회사주변 폴바셋이라 점심시간에 가면 사람 짱많아요…점심시간피해서가세요!!!!"
네이버플레이스,jju****,23.7.13.목,굿 
네이버플레이스,기다린보라미,22.12.25.일,매장이 깔끔하고 좋았어요! 커피는 역시 폴바셋이 가장 진하고 맛있는 것 같아요🙆🏻‍♀️
네이버플레이스,SHS1456,23.6.8.목,친절해요
네이버플레이스,써비와이프,23.3.12.일,커피 맛있어요 :)
네이버플레이스,뿌띠뽀미,22.12.2.금,"폴바셋에 나타는 정말 제일 맛있습니다🥰🥰ㅎㅎㅎ
특히나 오리지널 에그타르트가 입에서 살살 녹고 크기도 생각보다 많이 큰데 가격도 2800원이라서 정말 사 먹기 괜찮은 것 같아용ㅎㅎ
완전 좋아하는 폴바셋 이에용"
네이버플레이스,수땅32,23.2.4.토,넘 좋아요.  쾌적하고 넓직넓직하고
네이버플레이스,호호너구리,23.3.31.금,아이스크림 맛집
네이버플레이스,orgel,23.2.7.화,카드사 쿠폰으로 저렴하게 먹었어요
네이버플레이스,HAN56,23.7.2.일,좋아요!!!
네이버플레이스,초공123,23.8.21.월,좋아요
네이버플레이스,포챠코오오,23.3.5.일,말모말모 가격은 좀 비싸지만 폴바셋만한곳은 없쥬 🥤
네이버플레이스,intosd,23.4.6.목,엄청 친절하시고 맛있게 만들어주셨어요! 공간도 넓네요~
네이버플레이스,gaeunc,23.5.26.금,굿
네이버플레이스,딜리셔스 희동이네,23.6.28.수,Good
네이버플레이스,초공123,23.8.17.목,좋아요
네이버플레이스,찌꾸비3137,23.3.3.금,좌석들 칸막이가 있어 좋아요
네이버플레이스,SHS1456,23.3.1.수,T와 함께 하는 이벤트가 많아요
네이버플레이스,생생상상,23.5.23.화,좋아요
네이버플레이스,릴릴리3024,23.2.26.일,"주말 오전에 갔는데 친절했어요
근데 난방이 안돼서 추웠어요"
네이버플레이스,쿠루미2,23.4.28.금,친절하고 좋아요
네이버플레이스,애오개의현인,23.2.24.금,커피의 산미를 느낄 수 있습니다. 
네이버플레이스,orgel,23.4.19.수,굿
네이버플레이스,눈플레이스,23.5.15.월,넘 맛있어요!
네이버플레이스,mia01,23.4.3.월,
네이버플레이스,룰루2066,23.5.26.금,ㅇㅇ
네이버플레이스,김종국91,23.4.1.토,
네이버플레이스,목표39,23.7.6.목,라떼 맛나요
네이버플레이스,jek****,23.3.31.금,
네이버플레이스,jek****,23.4.12.수,
네이버플레이스,ilo****,23.11.19.일,굿
네이버플레이스,songbly53,23.6.11.일,맛있어요
네이버플레이스,애오개의현인,23.3.14.화,룽고 향이 좋습니다. 
네이버플레이스,애오개의현인,23.2.13.월,커피의 풍미를 느낄 수 있습니다. 
네이버플레이스,손가락6457,23.3.18.토,라떼 마시러 항상 가는곳 여의도역에 비해 여유있는 분위기라 좋음
네이버플레이스,khs****,23.4.7.금,맛있어요 
네이버플레이스,실력이답이다,23.3.25.토,
네이버플레이스,촉호덕후,23.3.5.일,진짜 친절하셨어용
네이버플레이스,ilo****,23.11.12.일,굿
네이버플레이스,제이미696,23.2.1.수,직원들이 친절해요 
